"with_Year_or_CO2","what","site","sp","model","R2m","R2c"
"","log_core_measurement","CedarBreaks","PIPU","log_core_measurement ~ pre + tmx + I(tmx^2) + 1",0.0171382572364703,0.49697724829944
"","log_core_measurement","CedarBreaks","POTR","log_core_measurement ~ pre + I(pre^2) + 1",0.00467176157865536,0.326326978382745
"","log_core_measurement","CedarBreaks","PSME","log_core_measurement ~ pre + tmx + I(tmx^2) + 1",0.0073221333810483,0.748273462640512
"","log_core_measurement_dbh","CedarBreaks","ABBI","log_core_measurement ~ dbh + I(dbh^2) + pre + tmx + 1",0.0868682500180217,0.742091971683619
"","log_core_measurement_dbh","CedarBreaks","PIEN","log_core_measurement ~ dbh + I(dbh^2) + pre + tmx + 1",0.0387160865323663,0.735874588905651
"","log_core_measurement_dbh","CedarBreaks","PIFL","log_core_measurement ~ pre + tmx + 1",0.0113753843254315,0.487597496307399
"","log_core_measurement_dbh","CedarBreaks","PIPU","log_core_measurement ~ dbh + pre + tmx + I(tmx^2) + 1",0.158889932705543,0.760247790260086
"","log_core_measurement_dbh","CedarBreaks","POTR","log_core_measurement ~ dbh + pre + I(pre^2) + 1",0.159470984938681,0.618736936020253
"","log_core_measurement_dbh","CedarBreaks","PSME","log_core_measurement ~ dbh + I(dbh^2) + pre + tmx + I(tmx^2) + 1",0.0351651513102146,0.787152614887566
"Year","log_core_measurement_dbh","CedarBreaks","ABBI","log_core_measurement ~ dbh + I(dbh^2) + pre + tmx + 1",0.0872769302742452,0.741053187043147
"Year","log_core_measurement_dbh","CedarBreaks","PIEN","log_core_measurement ~ dbh + I(dbh^2) + pre + tmx + 1",0.0462099788272268,0.795772186144104
"Year","log_core_measurement_dbh","CedarBreaks","PIFL","log_core_measurement ~ dbh + I(dbh^2) + pre + tmx + 1",0.0415525898301389,0.496257430070583
"Year","log_core_measurement_dbh","CedarBreaks","PIPU","log_core_measurement ~ dbh + I(dbh^2) + pre + tmx + I(tmx^2) + Year + 1",0.105312418516816,0.558410335855766
"Year","log_core_measurement_dbh","CedarBreaks","POTR","log_core_measurement ~ dbh + I(dbh^2) + pre + 1",0.38084399617971,0.723278816585342
"Year","log_core_measurement_dbh","CedarBreaks","PSME","log_core_measurement ~ dbh + I(dbh^2) + pre + tmx + I(tmx^2) + Year + 1",0.0638101353778058,0.815280059083773
"","log_agb_inc_dbh","CedarBreaks","ABBI","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.759788305897982,0.844118802622948
"","log_agb_inc_dbh","CedarBreaks","PIEN","log_agb_inc ~ dbh + I(dbh^2) + pre + tmx + 1",0.594832729799831,0.884452678297224
"","log_agb_inc_dbh","CedarBreaks","PIFL","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.636783313660036,0.826617091370064
"","log_agb_inc_dbh","CedarBreaks","PIPU","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.619918150589391,0.90470980309114
"","log_agb_inc_dbh","CedarBreaks","POTR","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.0633644898057443,0.568437664186874
"","log_agb_inc_dbh","CedarBreaks","PSME","log_agb_inc ~ dbh + I(dbh^2) + pre + tmx + 1",0.454423525534162,0.902673931634949
"Year","log_agb_inc_dbh","CedarBreaks","ABBI","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + Year + 1",0.773374473978952,0.830787007535347
"Year","log_agb_inc_dbh","CedarBreaks","PIEN","log_agb_inc ~ dbh + I(dbh^2) + pre + tmx + 1",0.638796049012271,0.928789555921827
"Year","log_agb_inc_dbh","CedarBreaks","PIFL","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.635079292085967,0.825553440729924
"Year","log_agb_inc_dbh","CedarBreaks","PIPU","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + Year + 1",0.565393874729795,0.791469559858323
"Year","log_agb_inc_dbh","CedarBreaks","POTR","log_agb_inc ~ dbh + I(dbh^2) + pre + tmx + Year + 1",0.597028249086448,0.811926838788086
"Year","log_agb_inc_dbh","CedarBreaks","PSME","log_agb_inc ~ dbh + I(dbh^2) + pre + tmx + Year + 1",0.507255163891885,0.918447448247802
"","log_BAI_dbh","CedarBreaks","ABBI","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.65111846744124,0.857817854382051
"","log_BAI_dbh","CedarBreaks","PIEN","log_BAI ~ dbh + I(dbh^2) + pre + tmx + 1",0.43869658084823,0.849675583061707
"","log_BAI_dbh","CedarBreaks","PIFL","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.448461283145193,0.738110444307656
"","log_BAI_dbh","CedarBreaks","PIPU","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.524141335027995,0.875798279116161
"","log_BAI_dbh","CedarBreaks","POTR","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.0147145785649262,0.555278719628381
"","log_BAI_dbh","CedarBreaks","PSME","log_BAI ~ dbh + I(dbh^2) + pre + tmx + 1",0.287483092428984,0.87390207936163
"Year","log_BAI_dbh","CedarBreaks","ABBI","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.654691323036803,0.854648994825961
"Year","log_BAI_dbh","CedarBreaks","PIEN","log_BAI ~ dbh + I(dbh^2) + pre + tmx + 1",0.499624086546796,0.906143624999379
"Year","log_BAI_dbh","CedarBreaks","PIFL","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.44585574665468,0.736522774213418
"Year","log_BAI_dbh","CedarBreaks","PIPU","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + Year + 1",0.413649763496083,0.716650893154169
"Year","log_BAI_dbh","CedarBreaks","POTR","log_BAI ~ dbh + I(dbh^2) + pre + tmx + Year + 1",0.512097633432545,0.773440935313834
"Year","log_BAI_dbh","CedarBreaks","PSME","log_BAI ~ dbh + I(dbh^2) + pre + tmx + Year + 1",0.360995018216497,0.896532027093292
"","log_core_measurement","Hansley","PIPO","log_core_measurement ~ pet + wet + I(wet^2) + 1",0.0251306463787222,0.17946790327341
"","log_core_measurement","Hansley","JUVI","log_core_measurement ~ pet + wet + 1",0.0115967803433141,0.0115967900202392
"","log_core_measurement_dbh","Hansley","PIPO","log_core_measurement ~ dbh + I(dbh^2) + pet + wet + I(wet^2) + 1",0.144716975584127,0.453738011992474
"","log_core_measurement_dbh","Hansley","JUVI","log_core_measurement ~ dbh + I(dbh^2) + pet + wet + 1",0.428033494705819,0.520885736191545
"Year","log_core_measurement_dbh","Hansley","PIPO","log_core_measurement ~ dbh + I(dbh^2) + pet + wet + I(wet^2) + Year + 1",0.191132850092271,0.327881614750662
"","log_agb_inc_dbh","Hansley","PIPO","log_agb_inc ~ dbh + tmn + wet + 1",0.0967182339716756,0.516276199501801
"","log_agb_inc_dbh","Hansley","JUVI","log_agb_inc ~ dbh + I(dbh^2) + wet + 1",0.264399650339598,0.371524599109097
"Year","log_agb_inc_dbh","Hansley","PIPO","log_agb_inc ~ dbh + I(dbh^2) + tmn + wet + Year + 1",0.562317367330785,0.674069261853869
"","log_BAI_dbh","Hansley","PIPO","log_BAI ~ dbh + I(dbh^2) + pet + wet + 1",0.0454399244767848,0.469515729603115
"","log_BAI_dbh","Hansley","JUVI","log_BAI ~ dbh + I(dbh^2) + pet + wet + 1",0.134280716389893,0.268160184382399
"Year","log_BAI_dbh","Hansley","PIPO","log_BAI ~ dbh + I(dbh^2) + pet + wet + Year + 1",0.462550562807906,0.598698947423135
"","log_core_measurement","HarvardForest","ACRU","log_core_measurement ~ pet + wet + I(wet^2) + 1",0.00765792591622025,0.0076977149767211
"","log_core_measurement","HarvardForest","BEAL","log_core_measurement ~ pet + wet + I(wet^2) + 1",0.0119707530080715,0.127882915303719
"","log_core_measurement","HarvardForest","QURU","log_core_measurement ~ pet + I(pet^2) + wet + I(wet^2) + 1",0.003784662988487,0.0039556337488206
"","log_core_measurement","HarvardForest","TSCA","log_core_measurement ~ pet + wet + 1",0.00933425462655326,0.188528454584319
"","log_core_measurement_dbh","HarvardForest","ACRU","log_core_measurement ~ dbh + I(dbh^2) + pet + wet + I(wet^2) + 1",0.190428224359924,0.347674989926027
"","log_core_measurement_dbh","HarvardForest","BEAL","log_core_measurement ~ dbh + I(dbh^2) + pet + I(pet^2) + wet + I(wet^2) + 1",0.228304767898371,0.454557995382007
"","log_core_measurement_dbh","HarvardForest","QURU","log_core_measurement ~ dbh + pet + I(pet^2) + wet + I(wet^2) + 1",0.169649737482371,0.486775208177013
"","log_core_measurement_dbh","HarvardForest","TSCA","log_core_measurement ~ dbh + pet + wet + 1",0.0134164604203571,0.225678495341915
"Year","log_core_measurement_dbh","HarvardForest","ACRU","log_core_measurement ~ dbh + I(dbh^2) + wet + I(wet^2) + Year + 1",0.342925642944747,0.395898002051935
"Year","log_core_measurement_dbh","HarvardForest","BEAL","log_core_measurement ~ dbh + I(dbh^2) + pet + I(pet^2) + wet + I(wet^2) + Year + 1",0.312724922995365,0.516625918392409
"Year","log_core_measurement_dbh","HarvardForest","QURU","log_core_measurement ~ dbh + I(dbh^2) + pet + I(pet^2) + wet + I(wet^2) + Year + 1",0.398224669880589,0.716327573601396
"Year","log_core_measurement_dbh","HarvardForest","TSCA","log_core_measurement ~ dbh + I(dbh^2) + pet + wet + Year + 1",0.248051972402331,0.413264688458214
"","log_agb_inc_dbh","HarvardForest","ACRU","log_agb_inc ~ dbh + pre + I(pre^2) + 1",0.0302166776213867,0.151441583959181
"","log_agb_inc_dbh","HarvardForest","BEAL","log_agb_inc ~ dbh + I(dbh^2) + pet + 1",0.140134694957754,0.48651056548841
"","log_agb_inc_dbh","HarvardForest","QURU","log_agb_inc ~ dbh + I(dbh^2) + pet + pre + I(pre^2) + 1",0.473054333798674,0.635316730516395
"","log_agb_inc_dbh","HarvardForest","TSCA","log_agb_inc ~ dbh + I(dbh^2) + pet + pre + 1",0.522069329571425,0.635460955774746
"Year","log_agb_inc_dbh","HarvardForest","ACRU","log_agb_inc ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + I(pre^2) + Year + 1",0.251381130982114,0.251502558659123
"Year","log_agb_inc_dbh","HarvardForest","BEAL","log_agb_inc ~ dbh + I(dbh^2) + pet + pre + Year + 1",0.476676404190831,0.669334319288217
"Year","log_agb_inc_dbh","HarvardForest","QURU","log_agb_inc ~ dbh + I(dbh^2) + pet + pre + I(pre^2) + Year + 1",0.694002378442676,0.870584780670273
"Year","log_agb_inc_dbh","HarvardForest","TSCA","log_agb_inc ~ dbh + I(dbh^2) + pet + pre + Year + 1",0.675633248644482,0.73558525713957
"","log_BAI_dbh","HarvardForest","ACRU","log_BAI ~ pre + I(pre^2) + 1",0.000406866027803876,0.135545133900959
"","log_BAI_dbh","HarvardForest","BEAL","log_BAI ~ dbh + I(dbh^2) + pet + 1",0.118371699497524,0.475217509746961
"","log_BAI_dbh","HarvardForest","QURU","log_BAI ~ dbh + I(dbh^2) + pet + pre + I(pre^2) + 1",0.204267535680435,0.501054286959971
"","log_BAI_dbh","HarvardForest","TSCA","log_BAI ~ dbh + I(dbh^2) + pet + pre + 1",0.358211629419263,0.533139005063282
"Year","log_BAI_dbh","HarvardForest","ACRU","log_BAI ~ dbh + pet + I(pet^2) + pre + I(pre^2) + Year + 1",0.241168712187973,0.241281021078347
"Year","log_BAI_dbh","HarvardForest","BEAL","log_BAI ~ dbh + I(dbh^2) + pet + pre + Year + 1",0.406534373841004,0.624221192227527
"Year","log_BAI_dbh","HarvardForest","QURU","log_BAI ~ dbh + I(dbh^2) + pet + pre + I(pre^2) + Year + 1",0.586210639982694,0.822940602660035
"Year","log_BAI_dbh","HarvardForest","TSCA","log_BAI ~ dbh + I(dbh^2) + pet + pre + Year + 1",0.603515202303341,0.688440378614788
"","log_core_measurement","HKK","AFXY","log_core_measurement ~ tmx + wet + 1",0.000975184339765873,0.220970401659646
"","log_core_measurement","HKK","CHTA","log_core_measurement ~ tmx + 1",0.00178527825282042,0.139970210934747
"","log_core_measurement","HKK","MEAZ","log_core_measurement ~ tmx + wet + 1",0.0122746536162325,0.0122746795425598
"","log_core_measurement","HKK","TOCI","log_core_measurement ~ tmx + wet + 1",0.0717062227522995,0.20300647648857
"","log_core_measurement_dbh","HKK","AFXY","log_core_measurement ~ dbh + I(dbh^2) + tmx + wet + 1",0.0968346946845526,0.281451248837319
"","log_core_measurement_dbh","HKK","CHTA","log_core_measurement ~ dbh + I(dbh^2) + tmx + 1",0.0912064881499719,0.218347437762788
"","log_core_measurement_dbh","HKK","MEAZ","log_core_measurement ~ dbh + I(dbh^2) + tmx + wet + 1",0.334946941566159,0.601618273672391
"","log_core_measurement_dbh","HKK","TOCI","log_core_measurement ~ dbh + I(dbh^2) + tmx + wet + 1",0.0758022076922667,0.202497948556201
"Year","log_core_measurement_dbh","HKK","AFXY","log_core_measurement ~ dbh + I(dbh^2) + wet + Year + 1",0.0862525056434338,0.280107513639596
"Year","log_core_measurement_dbh","HKK","CHTA","log_core_measurement ~ dbh + I(dbh^2) + tmx + Year + 1",0.102389356577327,0.240142659095816
"Year","log_core_measurement_dbh","HKK","MEAZ","log_core_measurement ~ tmx + wet + Year + 1",0.372709915002833,0.619454394737713
"Year","log_core_measurement_dbh","HKK","TOCI","log_core_measurement ~ dbh + I(dbh^2) + tmx + wet + Year + 1",0.126919118479055,0.302845899924685
"","log_agb_inc_dbh","HKK","AFXY","log_agb_inc ~ dbh + I(dbh^2) + tmp + wet + 1",0.783603329372656,0.822608140620314
"","log_agb_inc_dbh","HKK","CHTA","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.765899429470236,0.797325534832365
"","log_agb_inc_dbh","HKK","MEAZ","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.11253132761568,0.48692991898308
"","log_agb_inc_dbh","HKK","TOCI","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.617103716044328,0.676023339222791
"Year","log_agb_inc_dbh","HKK","AFXY","log_agb_inc ~ dbh + I(dbh^2) + tmp + wet + Year + 1",0.78217375703849,0.818751864459288
"Year","log_agb_inc_dbh","HKK","CHTA","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.748583476257386,0.784853210662089
"Year","log_agb_inc_dbh","HKK","MEAZ","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + Year + 1",0.387024258852052,0.638881792261273
"Year","log_agb_inc_dbh","HKK","TOCI","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + Year + 1",0.64837206671213,0.723789243090196
"","log_BAI_dbh","HKK","AFXY","log_BAI ~ dbh + I(dbh^2) + tmp + wet + 1",0.687942168334337,0.759370789752056
"","log_BAI_dbh","HKK","CHTA","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.645266352015858,0.701963786516004
"","log_BAI_dbh","HKK","MEAZ","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.0810560266285792,0.481356516729766
"","log_BAI_dbh","HKK","TOCI","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.466470492072465,0.548240999503752
"Year","log_BAI_dbh","HKK","AFXY","log_BAI ~ dbh + I(dbh^2) + tmp + wet + 1",0.683789319343797,0.753268901431142
"Year","log_BAI_dbh","HKK","CHTA","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + 1",0.621892027647624,0.683523627457756
"Year","log_BAI_dbh","HKK","MEAZ","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + Year + 1",0.321037935216858,0.614290820723789
"Year","log_BAI_dbh","HKK","TOCI","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + Year + 1",0.51880244699206,0.624138521701246
"","log_core_measurement","LillyDickey","ACSA","log_core_measurement ~ pre + I(pre^2) + 1",0.00712794255892366,0.25498124295545
"","log_core_measurement","LillyDickey","CAOV","log_core_measurement ~ pre + 1",0.000744398132290642,0.174351332469231
"","log_core_measurement","LillyDickey","LITU","log_core_measurement ~ pet + I(pet^2) + pre + 1",0.0608113265803783,0.265052982380182
"","log_core_measurement","LillyDickey","QUAL","log_core_measurement ~ pet + I(pet^2) + pre + I(pre^2) + 1",0.116961680798784,0.342621414737123
"","log_core_measurement","LillyDickey","QUMO","log_core_measurement ~ pet + I(pet^2) + pre + 1",0.0553970276499012,0.363596320827249
"","log_core_measurement","LillyDickey","QUVE","log_core_measurement ~ pet + I(pet^2) + pre + 1",0.0352004595557555,0.387199617267644
"","log_core_measurement_dbh","LillyDickey","ACSA","log_core_measurement ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + I(pre^2) + 1",0.138269664794068,0.260597855897772
"","log_core_measurement_dbh","LillyDickey","CAOV","log_core_measurement ~ pet + I(pet^2) + pre + 1",0.00296754089647091,0.204670438434644
"","log_core_measurement_dbh","LillyDickey","LITU","log_core_measurement ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + I(pre^2) + 1",0.0748394463357393,0.307796962894106
"","log_core_measurement_dbh","LillyDickey","QUMO","log_core_measurement ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + 1",0.184482929820539,0.385561124737595
"Year","log_core_measurement_dbh","LillyDickey","ACSA","log_core_measurement ~ dbh + I(dbh^2) + pet + pre + I(pre^2) + Year + 1",0.187531433782801,0.266015209123962
"Year","log_core_measurement_dbh","LillyDickey","CAOV","log_core_measurement ~ pet + pre + 1",0.00388773414736154,0.332843423721617
"Year","log_core_measurement_dbh","LillyDickey","LITU","log_core_measurement ~ pet + I(pet^2) + pre + I(pre^2) + Year + 1",0.0803969858625234,0.262247611632189
"","log_agb_inc_dbh","LillyDickey","ACSA","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + 1",0.646633553558518,0.674306068934082
"","log_agb_inc_dbh","LillyDickey","CAOV","log_agb_inc ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + 1",0.651085103949567,0.734812461915999
"","log_agb_inc_dbh","LillyDickey","LITU","log_agb_inc ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + I(pre^2) + 1",0.713881543577755,0.77970236721428
"","log_agb_inc_dbh","LillyDickey","QUMO","log_agb_inc ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + I(pre^2) + 1",0.889554471415353,0.9042355675022
"Year","log_agb_inc_dbh","LillyDickey","ACSA","log_agb_inc ~ dbh + I(dbh^2) + pet + pre + I(pre^2) + Year + 1",0.71037736682634,0.734798870860897
"Year","log_agb_inc_dbh","LillyDickey","CAOV","log_agb_inc ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + Year + 1",0.610801448437783,0.757619977505365
"Year","log_agb_inc_dbh","LillyDickey","LITU","log_agb_inc ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + I(pre^2) + Year + 1",0.704122427289058,0.766346536001832
"","log_BAI_dbh","LillyDickey","ACSA","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + 1",0.573542646461937,0.612285329801194
"","log_BAI_dbh","LillyDickey","CAOV","log_BAI ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + 1",0.474565699822386,0.600036594169527
"","log_BAI_dbh","LillyDickey","LITU","log_BAI ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + I(pre^2) + 1",0.542683657831617,0.659732504766106
"","log_BAI_dbh","LillyDickey","QUMO","log_BAI ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + I(pre^2) + 1",0.830116318929462,0.8582322568058
"Year","log_BAI_dbh","LillyDickey","ACSA","log_BAI ~ dbh + I(dbh^2) + pet + pre + I(pre^2) + Year + 1",0.643963020953948,0.674836703989263
"Year","log_BAI_dbh","LillyDickey","CAOV","log_BAI ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + Year + 1",0.461050555372138,0.661756504739733
"Year","log_BAI_dbh","LillyDickey","LITU","log_BAI ~ dbh + I(dbh^2) + pet + I(pet^2) + pre + I(pre^2) + Year + 1",0.541220407428764,0.645892346082351
"","log_core_measurement","NewMexico","PIPO","log_core_measurement ~ pre + I(pre^2) + tmx + I(tmx^2) + 1",0.277484452133889,0.43917218349983
"","log_core_measurement","NewMexico","PIST3","log_core_measurement ~ pre + I(pre^2) + tmx + 1",0.255899962168929,0.419175277008208
"","log_core_measurement_dbh","NewMexico","PIPO","log_core_measurement ~ dbh + pre + I(pre^2) + tmx + I(tmx^2) + 1",0.351928072424459,0.821014445229542
"","log_core_measurement_dbh","NewMexico","PIST3","log_core_measurement ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.460877957748089,0.556124848215719
"Year","log_core_measurement_dbh","NewMexico","PIPO","log_core_measurement ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + Year + 1",0.487659573069318,0.597067226931333
"Year","log_core_measurement_dbh","NewMexico","PIST3","log_core_measurement ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + Year + 1",0.525720099020163,0.653263809798214
"","log_agb_inc_dbh","NewMexico","PIPO","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + 1",0.188994076887341,0.7602989265765
"","log_agb_inc_dbh","NewMexico","PIST3","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.405218474910564,0.511177513198579
"Year","log_agb_inc_dbh","NewMexico","PIPO","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + Year + 1",0.576915811147099,0.660757130593457
"Year","log_agb_inc_dbh","NewMexico","PIST3","log_agb_inc ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + Year + 1",0.484609000172194,0.62335068706689
"","log_BAI_dbh","NewMexico","PIPO","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + 1",0.234508059951796,0.776152180675456
"","log_BAI_dbh","NewMexico","PIST3","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + 1",0.357533310309309,0.473813948857601
"Year","log_BAI_dbh","NewMexico","PIPO","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + Year + 1",0.530479867556462,0.625262742010483
"Year","log_BAI_dbh","NewMexico","PIST3","log_BAI ~ dbh + I(dbh^2) + pre + I(pre^2) + tmx + I(tmx^2) + Year + 1",0.440542384598596,0.592801772427854
"","log_core_measurement","Niobara","BEPA","log_core_measurement ~ tmp + I(tmp^2) + wet + 1",0.00460800027254884,0.36208891084967
"","log_core_measurement_dbh","Niobara","BEPA","log_core_measurement ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.0499954255590997,0.426114713780493
"Year","log_core_measurement_dbh","Niobara","BEPA","log_core_measurement ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.0499954255590997,0.426114713780493
"","log_agb_inc_dbh","Niobara","BEPA","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.522853686331945,0.760652270053406
"Year","log_agb_inc_dbh","Niobara","BEPA","log_agb_inc ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + Year + 1",0.569634788573991,0.787349525400305
"","log_BAI_dbh","Niobara","BEPA","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + 1",0.30965853678049,0.660924924602103
"Year","log_BAI_dbh","Niobara","BEPA","log_BAI ~ dbh + I(dbh^2) + tmp + I(tmp^2) + wet + Year + 1",0.372300393220646,0.695248788734352
"","log_core_measurement","SCBI","CACO","log_core_measurement ~ pet + pre + I(pre^2) + 1",0.018504756775411,0.263343461451914
